Serie;id;Nombre;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;1718;Villa del Prado;756,00;826,00;780,00;754,00;1.078,00;796,00;798,00;943,00;831,00;878,00;952,00;1.091,00;1.579,00;1.064,00;1.013,00;1.163,00;1.369,00;1.209,00;965,00;713,00;
Municipios;1701;Villaconejos;727,00;673,00;682,00;512,00;560,00;530,00;464,00;475,00;497,00;471,00;433,00;394,00;631,00;585,00;540,00;524,00;524,00;446,00;415,00;355,00;
Municipios;1723;Villalbilla;1.352,00;1.744,00;1.898,00;1.554,00;1.288,00;1.486,00;1.429,00;1.467,00;1.338,00;1.341,00;1.290,00;1.603,00;1.354,00;1.631,00;1.726,00;1.589,00;1.732,00;1.539,00;1.637,00;1.650,00;
Municipios;1739;Villamanrique de Tajo;55,00;72,00;67,00;43,00;55,00;119,00;118,00;64,00;39,00;51,00;71,00;195,00;146,00;137,00;417,00;187,00;285,00;192,00;378,00;114,00;
Municipios;1744;Villamanta;227,00;190,00;145,00;185,00;197,00;151,00;208,00;148,00;164,00;227,00;199,00;215,00;265,00;321,00;328,00;380,00;424,00;319,00;219,00;285,00;
Municipios;1757;Villamantilla;174,00;153,00;150,00;204,00;110,00;118,00;117,00;91,00;49,00;89,00;67,00;141,00;115,00;78,00;92,00;65,00;104,00;130,00;109,00;114,00;
Municipios;1782;Villanueva de Perales;159,00;161,00;177,00;199,00;222,00;177,00;229,00;214,00;135,00;228,00;155,00;143,00;132,00;148,00;168,00;106,00;147,00;404,00;307,00;350,00;
Municipios;1760;Villanueva de la Cañada;1.977,00;2.793,00;3.298,00;3.263,00;2.524,00;2.755,00;2.912,00;3.197,00;2.723,00;3.016,00;3.138,00;3.296,00;3.519,00;4.156,00;4.587,00;3.018,00;3.666,00;4.241,00;3.365,00;3.081,00;
Municipios;1776;Villanueva del Pardillo;1.166,00;1.508,00;1.610,00;1.381,00;1.240,00;1.468,00;1.264,00;1.541,00;1.210,00;1.271,00;1.446,00;1.555,00;1.835,00;1.766,00;1.992,00;1.614,00;1.722,00;1.805,00;1.795,00;1.566,00;
Municipios;1795;Villar del Olmo;1.512,00;582,00;368,00;344,00;187,00;221,00;218,00;182,00;133,00;167,00;121,00;149,00;137,00;118,00;159,00;137,00;149,00;150,00;125,00;92,00;
Municipios;1809;Villarejo de Salvanés;1.658,00;1.892,00;1.541,00;1.295,00;997,00;1.316,00;1.729,00;1.768,00;2.515,00;2.929,00;2.947,00;3.875,00;4.007,00;3.309,00;3.182,00;3.188,00;3.855,00;1.429,00;1.279,00;1.276,00;
Municipios;1816;Villaviciosa de Odón;3.938,00;4.922,00;5.050,00;4.546,00;3.401,00;3.893,00;5.751,00;7.029,00;6.682,00;7.260,00;7.195,00;7.400,00;6.796,00;6.934,00;10.140,00;4.543,00;6.867,00;5.608,00;5.501,00;4.575,00;
Municipios;1821;Villavieja del Lozoya;15,00;23,00;10,00;20,00;23,00;19,00;19,00;10,00;24,00;29,00;23,00;21,00;30,00;38,00;40,00;34,00;29,00;40,00;31,00;40,00;
Municipios;1837;Zarzalejo;214,00;212,00;210,00;254,00;218,00;323,00;241,00;106,00;72,00;149,00;152,00;189,00;433,00;303,00;284,00;215,00;187,00;214,00;146,00;182,00;
