Serie;id;Nombre;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;0650;Getafe;52.337,00;61.307,00;60.503,00;48.910,00;35.728,00;39.338,00;38.193,00;35.064,00;33.743,00;39.474,00;45.452,00;47.174,00;58.185,00;60.440,00;67.058,00;63.990,00;83.739,00;78.535,00;67.618,00;66.208,00;
Municipios;0663;Griñón;3.141,00;3.083,00;3.392,00;2.747,00;1.987,00;2.318,00;2.115,00;1.973,00;2.104,00;2.564,00;3.417,00;3.610,00;3.735,00;3.818,00;3.649,00;2.414,00;3.074,00;3.326,00;3.089,00;2.896,00;
Municipios;0679;Guadalix de la Sierra;536,00;799,00;849,00;823,00;1.116,00;1.149,00;691,00;748,00;726,00;860,00;1.466,00;1.188,00;1.090,00;991,00;1.452,00;920,00;1.053,00;1.114,00;770,00;778,00;
Municipios;0685;Guadarrama;2.252,00;3.050,00;2.684,00;2.511,00;2.034,00;2.370,00;2.256,00;1.970,00;2.343,00;2.950,00;2.611,00;2.665,00;2.443,00;3.705,00;2.891,00;2.198,00;2.937,00;3.275,00;2.883,00;3.462,00;
Municipios;0698;Hiruela (La);117,00;154,00;86,00;54,00;45,00;41,00;40,00;33,00;32,00;41,00;34,00;32,00;52,00;30,00;55,00;27,00;46,00;51,00;35,00;17,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;225,00;215,00;140,00;79,00;137,00;176,00;134,00;53,00;35,00;59,00;61,00;136,00;65,00;71,00;58,00;55,00;50,00;75,00;72,00;84,00;
Municipios;0719;Horcajuelo de la Sierra;101,00;116,00;113,00;93,00;71,00;124,00;94,00;40,00;32,00;41,00;36,00;47,00;27,00;49,00;27,00;124,00;247,00;272,00;50,00;138,00;
Municipios;0724;Hoyo de Manzanares;540,00;643,00;678,00;385,00;399,00;377,00;393,00;645,00;615,00;582,00;762,00;615,00;528,00;654,00;602,00;612,00;673,00;1.188,00;546,00;646,00;
Municipios;0730;Humanes de Madrid;8.096,00;8.624,00;9.176,00;5.764,00;4.803,00;4.671,00;4.365,00;4.079,00;4.275,00;5.862,00;5.950,00;6.410,00;6.307,00;7.324,00;8.640,00;5.566,00;7.001,00;6.787,00;5.416,00;5.136,00;
Municipios;0745;Leganés;36.225,00;42.171,00;45.262,00;35.962,00;30.123,00;29.740,00;29.548,00;27.386,00;26.591,00;31.946,00;34.781,00;39.506,00;42.835,00;44.687,00;45.787,00;30.152,00;37.508,00;35.999,00;35.354,00;36.885,00;
Municipios;0758;Loeches;1.895,00;2.922,00;3.235,00;2.214,00;2.355,00;3.367,00;3.509,00;2.749,00;2.960,00;3.492,00;3.475,00;3.173,00;3.453,00;3.272,00;3.643,00;2.659,00;3.770,00;2.922,00;2.149,00;2.186,00;
Municipios;0761;Lozoya;1.279,00;1.080,00;772,00;500,00;656,00;605,00;2.158,00;1.640,00;1.867,00;656,00;955,00;1.709,00;1.314,00;994,00;775,00;685,00;656,00;463,00;439,00;770,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;202,00;215,00;226,00;172,00;164,00;145,00;181,00;112,00;149,00;205,00;382,00;293,00;178,00;205,00;319,00;252,00;382,00;405,00;376,00;353,00;
Municipios;0783;Madarcos;771,00;793,00;664,00;587,00;440,00;415,00;425,00;469,00;377,00;410,00;544,00;550,00;590,00;680,00;576,00;523,00;419,00;495,00;512,00;411,00;
Municipios;0800;Majadahonda;14.178,00;15.001,00;15.473,00;12.713,00;10.425,00;10.655,00;10.755,00;15.766,00;15.722,00;17.449,00;17.939,00;18.877,00;18.323,00;19.815,00;18.269,00;12.815,00;17.000,00;17.796,00;16.304,00;16.710,00;
Municipios;0822;Manzanares el Real;551,00;719,00;629,00;530,00;491,00;451,00;490,00;564,00;527,00;602,00;566,00;654,00;1.022,00;1.156,00;942,00;581,00;690,00;646,00;648,00;646,00;
Municipios;0838;Meco;2.346,00;2.949,00;4.466,00;4.335,00;3.540,00;4.109,00;4.842,00;6.657,00;6.123,00;5.736,00;5.980,00;5.745,00;6.931,00;7.484,00;7.623,00;7.762,00;11.355,00;10.215,00;11.170,00;8.688,00;
Municipios;0843;Mejorada del Campo;4.332,00;5.205,00;6.386,00;5.723,00;4.391,00;4.182,00;3.477,00;2.718,00;2.829,00;3.306,00;3.178,00;3.696,00;3.944,00;4.095,00;4.541,00;3.312,00;3.838,00;3.546,00;3.141,00;3.356,00;
Municipios;0856;Miraflores de la Sierra;818,00;1.144,00;767,00;642,00;563,00;672,00;666,00;719,00;699,00;868,00;782,00;829,00;1.159,00;988,00;930,00;631,00;786,00;613,00;709,00;607,00;
Municipios;0869;Molar (El);845,00;839,00;893,00;785,00;731,00;619,00;573,00;526,00;437,00;505,00;587,00;624,00;713,00;691,00;650,00;550,00;772,00;760,00;935,00;898,00;
Municipios;0875;Molinos (Los);449,00;695,00;594,00;442,00;466,00;514,00;441,00;435,00;313,00;268,00;383,00;344,00;318,00;313,00;270,00;307,00;418,00;336,00;341,00;303,00;
Municipios;0881;Montejo de la Sierra;82,00;95,00;173,00;177,00;157,00;109,00;72,00;83,00;88,00;88,00;98,00;129,00;134,00;142,00;175,00;101,00;125,00;137,00;117,00;137,00;
Municipios;0894;Moraleja de Enmedio;1.262,00;1.481,00;1.584,00;1.258,00;1.238,00;2.214,00;2.245,00;2.924,00;1.694,00;2.156,00;2.048,00;2.606,00;2.628,00;3.557,00;2.559,00;3.903,00;1.094,00;1.131,00;913,00;1.268,00;
Municipios;0908;Moralzarzal;1.075,00;1.344,00;1.240,00;993,00;971,00;1.145,00;955,00;1.367,00;1.659,00;2.270,00;2.294,00;2.156,00;2.602,00;2.229,00;2.068,00;1.196,00;1.620,00;1.534,00;1.287,00;1.592,00;
Municipios;0915;Morata de Tajuña;1.073,00;1.334,00;1.144,00;710,00;653,00;678,00;589,00;435,00;456,00;470,00;576,00;626,00;763,00;835,00;870,00;675,00;811,00;764,00;705,00;696,00;
Municipios;0920;Móstoles;32.190,00;34.609,00;33.690,00;26.082,00;21.157,00;22.073,00;21.662,00;20.567,00;20.518,00;23.092,00;25.633,00;26.332,00;24.471,00;26.660,00;24.935,00;18.317,00;25.326,00;23.408,00;19.529,00;19.548,00;
Municipios;0936;Navacerrada;498,00;621,00;512,00;476,00;402,00;342,00;287,00;296,00;220,00;331,00;424,00;409,00;455,00;444,00;475,00;319,00;492,00;543,00;391,00;384,00;
Municipios;0941;Navalafuente;86,00;114,00;105,00;156,00;114,00;100,00;87,00;86,00;78,00;78,00;124,00;158,00;166,00;170,00;132,00;95,00;108,00;131,00;122,00;104,00;
Municipios;0954;Navalagamella;128,00;154,00;215,00;185,00;155,00;223,00;228,00;217,00;174,00;213,00;220,00;120,00;231,00;303,00;356,00;138,00;153,00;174,00;231,00;153,00;
Municipios;0967;Navalcarnero;3.389,00;4.519,00;4.710,00;3.550,00;2.887,00;2.462,00;3.125,00;2.655,00;4.361,00;3.511,00;3.736,00;4.204,00;4.669,00;5.197,00;5.810,00;3.644,00;4.320,00;4.793,00;4.219,00;4.087,00;
Municipios;0973;Navarredonda y San Mamés;325,00;248,00;164,00;141,00;69,00;112,00;168,00;130,00;140,00;108,00;76,00;103,00;73,00;54,00;141,00;60,00;31,00;84,00;184,00;51,00;
Municipios;0992;Navas del Rey;184,00;213,00;226,00;201,00;287,00;231,00;191,00;205,00;141,00;259,00;225,00;262,00;291,00;397,00;357,00;291,00;308,00;273,00;303,00;381,00;
Municipios;1006;Nuevo Baztán;3.208,00;13.202,00;13.667,00;8.344,00;5.348,00;3.077,00;755,00;487,00;663,00;1.194,00;536,00;500,00;653,00;596,00;535,00;544,00;689,00;620,00;598,00;514,00;
Municipios;1013;Olmeda de las Fuentes;43,00;47,00;46,00;42,00;35,00;41,00;38,00;29,00;42,00;23,00;26,00;30,00;13,00;15,00;30,00;52,00;44,00;44,00;38,00;46,00;
Municipios;1028;Orusco de Tajuña;115,00;164,00;124,00;100,00;92,00;99,00;117,00;77,00;71,00;106,00;108,00;110,00;126,00;95,00;77,00;85,00;76,00;97,00;90,00;110,00;
Municipios;1049;Paracuellos de Jarama;3.244,00;4.326,00;3.442,00;3.005,00;2.540,00;3.058,00;2.761,00;3.406,00;3.839,00;5.622,00;5.750,00;7.478,00;8.443,00;7.524,00;7.469,00;4.202,00;4.957,00;4.297,00;3.087,00;2.970,00;
Municipios;1065;Parla;13.163,00;15.058,00;14.369,00;12.201,00;9.473,00;9.125,00;9.631,00;8.322,00;8.300,00;9.070,00;9.429,00;11.871,00;11.969,00;12.278,00;12.093,00;9.909,00;13.156,00;16.151,00;11.253,00;10.271,00;
Municipios;1071;Patones;147,00;147,00;138,00;93,00;91,00;131,00;133,00;132,00;148,00;251,00;342,00;325,00;392,00;290,00;179,00;156,00;162,00;116,00;110,00;165,00;
Municipios;1087;Pedrezuela;1.147,00;1.237,00;924,00;953,00;648,00;499,00;519,00;400,00;386,00;475,00;491,00;606,00;711,00;716,00;746,00;576,00;627,00;543,00;500,00;541,00;
Municipios;1090;Pelayos de la Presa;251,00;382,00;339,00;398,00;289,00;185,00;210,00;184,00;233,00;234,00;276,00;292,00;303,00;299,00;330,00;339,00;380,00;473,00;347,00;300,00;
Municipios;1104;Perales de Tajuña;436,00;360,00;229,00;292,00;265,00;253,00;133,00;141,00;150,00;186,00;204,00;212,00;219,00;238,00;259,00;204,00;366,00;393,00;310,00;259,00;
Municipios;1111;Pezuela de las Torres;83,00;75,00;82,00;62,00;42,00;81,00;47,00;58,00;62,00;39,00;60,00;73,00;65,00;77,00;133,00;77,00;156,00;109,00;137,00;83,00;
Municipios;1126;Pinilla del Valle;25,00;38,00;75,00;29,00;67,00;25,00;24,00;17,00;17,00;14,00;15,00;21,00;21,00;29,00;43,00;21,00;41,00;39,00;38,00;34,00;
Municipios;1132;Pinto;23.889,00;26.264,00;26.196,00;20.033,00;12.267,00;12.854,00;15.184,00;13.847,00;11.713,00;13.537,00;15.408,00;15.852,00;19.156,00;21.152,00;23.105,00;18.109,00;23.470,00;19.262,00;15.173,00;14.370,00;
Municipios;1147;Piñuécar-Gandullas;156,00;143,00;257,00;273,00;109,00;53,00;18,00;18,00;17,00;12,00;12,00;26,00;29,00;16,00;18,00;13,00;27,00;21,00;13,00;14,00;
Municipios;1150;Pozuelo de Alarcón;22.574,00;29.075,00;30.996,00;31.552,00;24.382,00;25.895,00;29.439,00;31.026,00;31.185,00;34.439,00;49.856,00;56.516,00;59.103,00;64.090,00;65.292,00;33.957,00;41.921,00;38.640,00;33.391,00;30.535,00;
Municipios;1163;Pozuelo del Rey;157,00;209,00;187,00;205,00;96,00;66,00;61,00;104,00;90,00;87,00;112,00;127,00;84,00;101,00;114,00;79,00;116,00;126,00;83,00;126,00;
Municipios;1179;Prádena del Rincón;29,00;36,00;26,00;24,00;33,00;22,00;14,00;7,00;22,00;19,00;22,00;23,00;16,00;24,00;23,00;25,00;29,00;27,00;25,00;34,00;
Municipios;1185;Puebla de la Sierra;70,00;118,00;96,00;45,00;26,00;25,00;20,00;24,00;6,00;15,00;15,00;11,00;21,00;8,00;7,00;22,00;22,00;9,00;17,00;25,00;
Municipios;9020;Puentes Viejas;45,00;54,00;53,00;79,00;186,00;62,00;31,00;182,00;13,00;171,00;400,00;57,00;91,00;69,00;133,00;57,00;138,00;95,00;27,00;51,00;
Municipios;1198;Quijorna;283,00;282,00;231,00;375,00;224,00;447,00;204,00;263,00;208,00;286,00;351,00;541,00;397,00;335,00;415,00;379,00;388,00;383,00;217,00;244,00;
Municipios;1202;Rascafría;993,00;817,00;924,00;835,00;618,00;466,00;660,00;620,00;632,00;344,00;194,00;274,00;250,00;278,00;314,00;267,00;267,00;301,00;309,00;282,00;
Municipios;1219;Redueña;75,00;70,00;84,00;28,00;90,00;95,00;54,00;22,00;28,00;54,00;42,00;28,00;61,00;42,00;45,00;43,00;60,00;42,00;42,00;24,00;
Municipios;1224;Ribatejada;52,00;67,00;73,00;67,00;54,00;57,00;53,00;65,00;59,00;62,00;90,00;57,00;189,00;121,00;255,00;96,00;107,00;123,00;136,00;229,00;
Municipios;1230;Rivas-Vaciamadrid;10.886,00;14.760,00;17.277,00;13.135,00;9.445,00;11.358,00;14.536,00;14.261,00;16.482,00;14.318,00;15.202,00;17.599,00;20.117,00;19.405,00;20.301,00;14.506,00;19.754,00;19.608,00;16.196,00;15.415,00;
Municipios;1245;Robledillo de la Jara;35,00;150,00;47,00;15,00;32,00;25,00;52,00;11,00;12,00;15,00;15,00;17,00;14,00;18,00;12,00;17,00;13,00;24,00;23,00;11,00;
Municipios;1258;Robledo de Chavela;260,00;369,00;355,00;307,00;256,00;343,00;347,00;313,00;207,00;319,00;398,00;449,00;568,00;623,00;588,00;353,00;578,00;604,00;610,00;525,00;
Municipios;1261;Robregordo;7,00;16,00;6,00;12,00;9,00;14,00;8,00;4,00;2,00;6,00;7,00;8,00;10,00;14,00;7,00;16,00;8,00;11,00;10,00;9,00;
Municipios;1277;Rozas de Madrid (Las);23.681,00;27.868,00;29.393,00;27.806,00;21.386,00;22.049,00;22.173,00;25.337,00;28.050,00;32.337,00;41.512,00;35.228,00;36.586,00;40.630,00;39.133,00;30.618,00;31.940,00;31.717,00;25.757,00;24.061,00;
Municipios;1283;Rozas de Puerto Real;52,00;44,00;50,00;87,00;41,00;69,00;82,00;65,00;83,00;100,00;91,00;131,00;120,00;109,00;208,00;101,00;149,00;146,00;96,00;172,00;
Municipios;1296;San Agustín del Guadalix;2.961,00;3.379,00;3.395,00;3.058,00;2.038,00;2.832,00;2.798,00;3.142,00;4.880,00;2.987,00;2.107,00;2.504,00;3.073,00;3.032,00;3.369,00;2.421,00;3.191,00;3.989,00;2.664,00;2.706,00;
Municipios;1300;San Fernando de Henares;8.679,00;9.173,00;11.637,00;8.731,00;6.371,00;6.410,00;7.122,00;7.630,00;8.300,00;9.761,00;14.348,00;18.819,00;17.526,00;18.175,00;20.803,00;18.978,00;20.514,00;16.682,00;15.198,00;17.447,00;
Municipios;1317;San Lorenzo de El Escorial;2.936,00;3.316,00;2.892,00;2.462,00;2.581,00;2.483,00;2.377,00;2.492,00;3.115,00;3.917,00;5.087,00;3.422,00;3.562,00;5.035,00;4.867,00;2.417,00;2.898,00;4.341,00;2.793,00;3.281,00;
Municipios;1338;San Martín de Valdeiglesias;1.213,00;1.388,00;1.532,00;1.365,00;1.124,00;1.010,00;1.194,00;1.098,00;919,00;961,00;1.011,00;1.025,00;1.339,00;1.476,00;1.472,00;1.334,00;1.379,00;1.523,00;1.255,00;1.235,00;
Municipios;1322;San Martín de la Vega;4.251,00;5.786,00;5.537,00;4.872,00;3.669,00;3.975,00;4.169,00;3.433,00;4.353,00;4.165,00;4.233,00;4.258,00;4.863,00;5.115,00;5.140,00;2.883,00;4.128,00;3.956,00;3.052,00;2.814,00;
Municipios;1343;San Sebastián de los Reyes;40.338,00;36.990,00;34.492,00;32.109,00;25.978,00;28.819,00;28.052,00;23.001,00;25.808,00;29.330,00;33.763,00;37.448,00;39.089,00;38.828,00;40.512,00;30.077,00;40.658,00;41.805,00;32.343,00;31.125,00;
Municipios;1356;Santa María de la Alameda;88,00;102,00;95,00;86,00;102,00;97,00;114,00;68,00;50,00;66,00;50,00;73,00;103,00;73,00;115,00;91,00;116,00;111,00;88,00;113,00;
Municipios;1369;Santorcaz;139,00;112,00;78,00;92,00;43,00;35,00;52,00;39,00;53,00;26,00;38,00;51,00;29,00;39,00;28,00;31,00;102,00;81,00;80,00;108,00;
Municipios;1375;Santos de la Humosa (Los);290,00;192,00;122,00;121,00;91,00;76,00;86,00;99,00;106,00;103,00;134,00;114,00;102,00;111,00;106,00;123,00;159,00;159,00;123,00;118,00;
Municipios;1381;Serna del Monte (La);26,00;34,00;23,00;20,00;26,00;22,00;12,00;10,00;21,00;24,00;18,00;25,00;11,00;17,00;12,00;16,00;17,00;7,00;17,00;20,00;
Municipios;1408;Serranillos del Valle;492,00;583,00;522,00;528,00;402,00;487,00;428,00;366,00;303,00;375,00;392,00;381,00;493,00;839,00;1.242,00;565,00;785,00;614,00;465,00;451,00;
Municipios;1415;Sevilla la Nueva;926,00;1.110,00;1.054,00;1.162,00;1.028,00;1.134,00;834,00;738,00;901,00;841,00;941,00;930,00;961,00;1.107,00;1.072,00;900,00;934,00;1.241,00;1.291,00;1.386,00;
