Serie;id;Nombre;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;0344;Canencia;741,84;752,03;797,05;835,70;841,99;869,44;917,46;977,90;983,40;1.043,63;1.066,94;1.185,64;
Municipios;0357;Carabaña;795,02;807,53;852,52;886,98;901,52;922,77;965,00;991,40;1.016,10;1.079,05;1.123,83;1.232,63;
Municipios;0360;Casarrubuelos;891,44;920,84;990,76;1.017,26;1.031,16;1.052,35;1.107,56;1.146,10;1.173,30;1.245,40;1.239,92;1.293,13;
Municipios;0376;Cenicientos;780,18;793,66;808,49;814,84;821,29;847,67;881,18;905,60;922,20;1.013,09;1.025,63;1.105,94;
Municipios;0382;Cercedilla;932,46;966,50;1.001,71;1.029,60;1.051,91;1.103,13;1.156,18;1.183,30;1.214,50;1.282,61;1.295,60;1.391,64;
Municipios;0395;Cervera de Buitrago;912,39;894,77;932,33;956,07;982,47;1.041,69;1.073,35;1.081,00;1.100,80;1.156,05;1.143,89;1.212,63;
Municipios;0513;Chapinería;880,26;910,00;946,47;930,46;951,18;984,54;1.035,81;1.065,10;1.080,40;1.153,68;1.158,42;1.214,69;
Municipios;0528;Chinchón;788,87;806,77;833,12;856,50;869,78;902,74;944,41;967,50;989,40;1.054,45;1.066,28;1.127,50;
Municipios;0409;Ciempozuelos;905,81;936,64;969,90;984,99;992,24;1.027,25;1.058,13;1.084,10;1.113,00;1.177,12;1.181,36;1.242,37;
Municipios;0416;Cobeña;1.016,06;1.055,67;1.129,77;1.174,94;1.184,93;1.233,10;1.303,22;1.350,30;1.389,10;1.460,44;1.453,28;1.532,58;
Municipios;0468;Collado Mediano;1.106,31;1.128,88;1.148,65;1.162,06;1.164,76;1.226,32;1.256,71;1.292,00;1.314,80;1.384,49;1.400,89;1.475,24;
Municipios;0474;Collado Villalba;1.042,84;1.073,88;1.110,57;1.120,21;1.141,68;1.181,22;1.225,56;1.259,20;1.286,50;1.359,61;1.365,40;1.438,60;
Municipios;0455;Colmenar Viejo;1.012,24;1.047,93;1.108,44;1.129,69;1.153,88;1.203,44;1.253,89;1.287,80;1.313,40;1.390,04;1.408,54;1.486,89;
Municipios;0437;Colmenar de Oreja;832,26;860,54;878,56;888,42;899,82;930,70;959,84;979,00;1.007,80;1.094,60;1.106,51;1.155,54;
Municipios;0421;Colmenar del Arroyo;962,17;971,24;1.003,32;1.003,46;1.051,05;1.057,57;1.082,36;1.111,20;1.127,70;1.241,16;1.229,20;1.327,23;
Municipios;0442;Colmenarejo;1.024,27;1.052,64;1.109,90;1.110,20;1.140,84;1.182,80;1.215,81;1.251,10;1.277,30;1.365,29;1.374,47;1.438,17;
Municipios;0480;Corpa;880,68;937,98;933,14;937,06;963,55;1.021,25;1.090,18;1.095,70;1.119,00;1.212,19;1.226,80;1.302,95;
Municipios;0493;Coslada;1.071,91;1.108,33;1.159,99;1.180,71;1.203,22;1.244,95;1.286,79;1.312,00;1.334,50;1.409,17;1.411,62;1.472,12;
Municipios;0506;Cubas de la Sagra;987,71;1.005,74;1.057,94;1.072,08;1.089,12;1.108,96;1.136,18;1.157,90;1.175,50;1.248,58;1.258,27;1.324,54;
Municipios;0534;Daganzo de Arriba;972,11;995,77;1.035,77;1.065,31;1.089,59;1.134,36;1.156,08;1.197,30;1.222,30;1.312,03;1.314,54;1.400,13;
Municipios;0549;Escorial (El);1.127,94;1.156,50;1.190,58;1.207,67;1.239,04;1.276,78;1.315,70;1.349,40;1.388,60;1.448,49;1.470,40;1.540,65;
Municipios;0552;Estremera;857,88;878,02;878,76;854,69;872,38;893,45;930,04;930,50;939,50;1.034,07;1.049,00;1.103,45;
Municipios;0565;Fresnedillas de la Oliva;958,10;977,06;1.021,57;1.034,08;1.054,43;1.106,77;1.147,73;1.174,60;1.184,30;1.258,99;1.237,95;1.318,11;
Municipios;0571;Fresno de Torote;1.025,72;1.067,26;1.031,48;1.085,71;1.103,99;1.157,00;1.157,03;1.173,50;1.218,60;1.349,59;1.338,95;1.342,17;
Municipios;0587;Fuenlabrada;943,27;974,04;1.019,46;1.045,18;1.068,50;1.106,17;1.141,24;1.166,10;1.186,20;1.265,50;1.268,52;1.328,59;
Municipios;0590;Fuente el Saz de Jarama;944,23;961,04;999,56;1.018,29;1.034,17;1.070,45;1.110,81;1.129,80;1.126,70;1.214,40;1.225,09;1.300,25;
Municipios;0604;Fuentidueña de Tajo;847,27;880,63;916,25;924,58;928,81;981,15;1.006,07;1.040,80;1.050,80;1.116,22;1.122,45;1.195,09;
Municipios;0611;Galapagar;1.085,52;1.121,07;1.149,40;1.169,79;1.195,00;1.239,49;1.278,58;1.306,00;1.334,60;1.408,02;1.419,89;1.499,59;
Municipios;0626;Garganta de los Montes;760,46;791,19;862,05;916,45;924,06;960,40;1.000,80;1.045,80;1.069,90;1.132,08;1.191,81;1.252,64;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;800,92;847,66;877,50;901,58;947,47;1.032,09;1.107,00;1.117,00;1.134,80;1.226,38;1.197,21;1.209,46;
Municipios;0647;Gascones;1.015,05;1.015,26;971,96;926,84;941,22;967,43;919,26;938,80;1.008,30;1.034,11;1.091,49;1.146,79;
Municipios;0650;Getafe;1.078,49;1.107,66;1.145,74;1.161,55;1.177,47;1.213,44;1.248,89;1.270,00;1.291,70;1.368,14;1.374,18;1.436,40;
Municipios;0663;Griñón;987,96;1.005,15;1.035,96;1.036,93;1.067,42;1.101,68;1.136,87;1.160,70;1.180,10;1.260,81;1.270,32;1.326,96;
Municipios;0679;Guadalix de la Sierra;885,69;904,18;952,82;974,14;998,43;1.037,52;1.091,19;1.107,10;1.117,30;1.203,01;1.223,17;1.295,30;
Municipios;0685;Guadarrama;1.037,13;1.056,88;1.086,92;1.100,78;1.113,71;1.154,94;1.192,07;1.229,00;1.249,80;1.315,15;1.319,54;1.387,67;
Municipios;0698;Hiruela (La);739,31;751,10;634,50;-;0,00;0,00;0,00;0,00;-;-;1.142,51;-;
Municipios;0702;Horcajo de la Sierra-Aoslos;603,69;632,52;685,70;807,83;817,53;797,22;946,09;964,30;1.113,90;1.177,70;1.234,35;1.303,60;
Municipios;0719;Horcajuelo de la Sierra;796,79;811,13;851,94;869,09;897,29;937,36;1.017,52;1.084,90;1.147,90;1.216,85;1.216,85;1.239,02;
Municipios;0724;Hoyo de Manzanares;1.166,63;1.215,80;1.245,49;1.267,08;1.289,69;1.328,11;1.372,28;1.397,20;1.426,50;1.484,55;1.518,08;1.619,58;
Municipios;0730;Humanes de Madrid;861,83;888,99;916,60;938,50;962,23;994,90;1.036,00;1.050,90;1.070,90;1.164,54;1.163,03;1.225,07;
Municipios;0745;Leganés;1.025,66;1.053,35;1.086,01;1.098,30;1.111,67;1.145,33;1.179,96;1.201,60;1.221,10;1.283,74;1.288,55;1.350,52;
