municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Guadarrama,40.67348,-4.090732,109285819,1700.0,2,4,223.0,calle Pico del Yelmo,,https://www.idealista.com/inmueble/109285819/
Guadarrama,40.67348,-4.090732,109232662,1300.0,2,3,133.0,maria veronica,,https://www.idealista.com/inmueble/109232662/
Guadarrama,40.67348,-4.090732,109891498,1250.0,2,4,107.0,CL CORDEL DE LOS NAVARROS,,https://www.idealista.com/inmueble/109891498/
Guadarrama,40.67348,-4.090732,109834038,1250.0,2,4,111.0,calle de los Doctores Gómez Embuena,,https://www.idealista.com/inmueble/109834038/
Guadarrama,40.67348,-4.090732,109988514,1300.0,2,4,109.0,Guadarrama,,https://www.idealista.com/inmueble/109988514/
Guadarrama,40.67348,-4.090732,110012283,1100.0,2,3,86.0,calle Ibersierra,,https://www.idealista.com/inmueble/110012283/
Guadarrama,40.67348,-4.090732,109554941,950.0,1,2,50.0,Guadarrama,,https://www.idealista.com/inmueble/109554941/
Guadarrama,40.67348,-4.090732,99210299,950.0,1,3,90.0,Guadarrama,,https://www.idealista.com/inmueble/99210299/
