ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
21/11/2023,2,,100,41.0669977,4,3,,2807001001,2,37239429,75,1,239000,2,28755,Desconocida,,,,Horcajo de la Sierra,True,-3.58451,,2,47,Madrid,3,,0,0.20382496521875,20,https://www.idealista.com/103239652,,103239652,73,1453,211,28070,173,,1977,1,1,,V,Mayor,211,21/11/2023,,https://www.idealista.com/data/app/cid/bXZRVHFnUURFRDdoWnpxajVNMkZpZz09,1132.7,,0-EU-ES-28-01-006-070
01/01/2023,2,,100,41.066232,2,2,0865315VL5406N0002JU,2807001001,1,34357639,75,1,190000,3,28755,Calle,,False,0865315VL5406N,Horcajo de la Sierra,True,-3.5862152,,25,259,Madrid,4,,3,0.20382496521875,150,https://www.idealista.com/100034953,,100034953,264,6069,120,28070,173,23/09/2023,2008,1,3,,V,del Gato,68,23/09/2023,False,https://www.idealista.com/data/app/cid/VzRxRjEwQ241ZmQ0bGhHaHdhN0VTdz09,1583.33,8,0-EU-ES-28-01-006-070
16/03/2023,2,,0,41.0542073,4,4,,2807001001,3,35047188,0,1,174000,3,28755,,,True,,Horcajo de la Sierra,False,-3.5978065,,40,591,Madrid,4,,10,0.20382496521875,1923,https://www.idealista.com/100820511,,100820511,151,9108,120,28070,173,14/08/2023,,1,1,,,,,14/08/2023,False,https://www.idealista.com/data/app/cid/T1R1MWIzcG9YaGpHWmYyV1JmZ3FMUT09,1450,,0-EU-ES-28-01-006-070
