newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,103294877,False,2412,,40.9149634,44,1219,1,1,https://www.idealista.com/103294877,,,0,3,True,1,4,28749,105,,15/12/2023,0-EU-ES-28-01-006-120,9,,,2812001001,133750,9,Rascafría,bj,28120,,,37291032,0,,1827,3,-3.8547766,1,Madrid,Desconocida,0,1.4855955757212,1273.81,True,27/11/2023,18,Av. la Paz,15/12/2023,https://www.idealista.com/data/app/cid/a1BQMTZEOVNESnVlTjdra21IZ0ZSQT09,1,1
,102945167,,60,100,40.9033076,28,1166,,1,https://www.idealista.com/102945167,1970,6186704VL2268N,62,3,True,2,3,28740,166,6186704VL2268N0001IK,16/01/2024,0-EU-ES-28-01-006-120,20,False,,2812001001,364000,4,Rascafría,,28120,,V,36971842,75,3,1827,6,-3.8790971,1,Madrid,Desconocida,0,1.4855955757212,2192.77,True,23/10/2023,102,c/Pintores del Paular,,https://www.idealista.com/data/app/cid/cXVTN1hlV21rdm5jT1ZMQnIzOWNEdz09,1,3
,103312008,,129,212,40.9049686,66,2402,,1,https://www.idealista.com/103312008,1973,6088586VL2268N,100,3,True,2,3,28740,212,6088586VL2268N0001AK,05/12/2023,0-EU-ES-28-01-006-120,15,True,,2812001001,338700,7,Rascafría,,28120,,V,37307236,75,4,1827,4,-3.8793913,1,Madrid,Desconocida,0,1.4855955757212,1597.64,True,28/11/2023,66,CORRALA,,https://www.idealista.com/data/app/cid/M3VLVExTc29ZRy91Yk9YaWNFQjFFZz09,1,1
,101123354,,392,166,40.908516,51,2630,,1,https://www.idealista.com/101123354,2000,,100,3,False,2,4,28740,166,,18/10/2023,0-EU-ES-28-01-006-120,,False,,2812001001,376000,3,Rascafría,,28120,,V,35319128,75,4,1827,6,-3.881111,3,Madrid,,0,1.4855955757212,2265.06,True,17/04/2023,184,,18/10/2023,https://www.idealista.com/data/app/cid/Q2JRQk5OYndEZWNySERMUXNMTTVuZz09,1,3
,101920487,,409,140,40.9055829,74,2475,,1,https://www.idealista.com/101920487,1978,5789023VL2258N,100,3,True,2,4,28740,140,5789023VL2258N0001TF,11/11/2023,0-EU-ES-28-01-006-120,21,False,,2812001001,245000,13,Rascafría,,28120,,V,36033674,75,2,1827,3,-3.8836689,1,Madrid,Calle,0,1.4855955757212,1750,True,03/07/2023,130,del Redondal,11/11/2023,https://www.idealista.com/data/app/cid/MERHem9BZm5xY1VUdVFxOGNCVnZwQT09,1,1
,102813388,,427,,40.9059492,76,2987,,1,https://www.idealista.com/102813388,1978,5789008VL2258N,100,3,True,2,3,28740,180,,25/01/2024,0-EU-ES-28-01-006-120,12,,,2812001001,247000,10,Rascafría,,28120,,,36850683,100,3,1827,4,-3.8836204,1,Madrid,Desconocida,0,1.4855955757212,1372.22,True,09/10/2023,115,Redondal,,https://www.idealista.com/data/app/cid/aDZ6c1d0UTdaa2g4YytGMlZRMTJyZz09,1,2
,95905085,,433,295,40.9071682,476,17453,,1,https://www.idealista.com/95905085,2006,5889442VL2259S,100,3,True,2,3,28740,247,5889442VL2259S0001GH,10/01/2024,0-EU-ES-28-01-006-120,66,True,,2812001001,415000,0,Rascafría,,28120,,V,30496172,75,3,1827,4,-3.8819954,1,Madrid,Calle,6,1.4855955757212,1680.16,True,13/11/2021,478,Pintores de el Paular,07/03/2023,https://www.idealista.com/data/app/cid/NEJpcUVYQ3JwWldJT2cvVVowRHNZZz09,1,4
,102258077,,499,222,40.9082872,48,2700,,1,https://www.idealista.com/102258077,2003,5991882VL2259S,100,3,True,2,4,28740,282,5991882VL2259S0001JH,29/12/2023,0-EU-ES-28-01-006-120,31,,,2812001001,339500,0,Rascafría,,28120,,V,36341632,75,3,1827,6,-3.8796791,1,Madrid,Desconocida,0,1.4855955757212,1203.9,True,08/08/2023,142,PINTORES DEL PAULAR,29/12/2023,https://www.idealista.com/data/app/cid/MkNpR0tUUkVwdFJKQTZ2S0hxdXhpQT09,1,3
,1630606,,2316,151,40.9147065,1163,52588,,1,https://www.idealista.com/1630606,2007,8098470VL2289N,27,3,True,2,3,28749,160,8098470VL2289N0001BB,28/12/2023,0-EU-ES-28-01-006-120,18,False,,2812001001,340000,222,Rascafría,,28120,,V,20822223,100,2,1827,3,-3.8559113,1,Madrid,Calle,31,1.4855955757212,2125,False,28/09/2007,3,Toro,24/09/2007,https://www.idealista.com/data/app/cid/NlRtbG1Cdkc4M3NWMFFXejQ3NmZ6QT09,1,3
