ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
04/12/2023,2,,0,40.264349,4,8,,2803701002,2,37361041,0,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.4599379,,0,15,Madrid,3,,0,0.66393141320376,285,https://www.idealista.com/103370533,,103370533,16,811,228,28037,2072,21/12/2023,,1,4,,,de Madrid,,24/01/2024,True,https://www.idealista.com/data/app/cid/ZkFrVlFEa0FxQ3BXVHlQRTFxQm51UT09,1096.49,,0-EU-ES-28-03-010-037
22/09/2023,2,,72,40.266937,4,8,,2803701002,2,36686685,75,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.4624405,,0,16,Madrid,4,,0,0.66393141320376,285,https://www.idealista.com/102633827,,102633827,8,232,228,28037,2072,30/09/2023,1993,1,4,,V,de madrid,244,30/09/2023,True,https://www.idealista.com/data/app/cid/ckJ4QzhmQWRtcEJqMDVXYlI3ZTJmUT09,1096.49,,0-EU-ES-28-03-010-037
15/11/2023,2,,100,40.2633338,4,8,,2803701002,2,37183215,75,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.4596078,,0,10,Madrid,4,,0,0.66393141320376,289,https://www.idealista.com/103177622,,103177622,19,331,228,28037,2072,04/12/2023,1985,1,4,,V,de madrid,112,04/12/2023,True,https://www.idealista.com/data/app/cid/dFI2d1dqemdNcFBaN2grUFpoMC8vdz09,1096.49,,0-EU-ES-28-03-010-037
31/08/2023,2,,100,40.2644282,4,8,,2803701002,2,36486317,75,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.4623066,,1,16,Madrid,4,,0,0.66393141320376,295,https://www.idealista.com/102414651,,102414651,21,400,228,28037,2072,22/09/2023,1983,1,4,,V,de madrid,377,22/09/2023,True,https://www.idealista.com/data/app/cid/NzlFTVhTZEVKNGZLN0l0UGtveE1iUT09,1096.49,,0-EU-ES-28-03-010-037
21/08/2023,2,,100,40.2651689,4,8,5885806UK7558S0001WM,2803701002,1,36410539,75,1,250000,3,28650,Travesía,,True,5885806UK7558S,Cenicientos,True,-4.4614907,,1,10,Madrid,4,,0,0.66393141320376,296,https://www.idealista.com/102333403,,102333403,9,326,228,28037,2072,31/08/2023,1997,1,4,,V,de madrid,228,31/08/2023,True,https://www.idealista.com/data/app/cid/c29UU1dWSlRXWVI2eGZJSEQyMmpPUT09,1096.49,6,0-EU-ES-28-03-010-037
02/05/2023,2,,100,40.2632309,4,8,,2803701002,3,35453606,75,1,280000,3,28650,,,True,,Cenicientos,False,-4.4602446,,3,9,Madrid,4,,0,0.66393141320376,296,https://www.idealista.com/101275734,,101275734,108,571,250,28037,2072,18/08/2023,1997,1,4,,V,,228,18/08/2023,True,https://www.idealista.com/data/app/cid/U3RnRmo5a3puNU9jNytYNGk2bDJxdz09,1120,,0-EU-ES-28-03-010-037
30/09/2023,2,,0,40.2672398,4,8,,2803701002,2,36766007,0,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.461944,,0,9,Madrid,4,,0,0.66393141320376,297,https://www.idealista.com/102719963,,102719963,4,222,228,28037,2072,05/10/2023,,1,4,,,DE MADRID,,05/10/2023,True,https://www.idealista.com/data/app/cid/SHVYejZ5WlY4OTk1dzByeUNiV1hkZz09,1096.49,,0-EU-ES-28-03-010-037
25/01/2024,2,,,40.2635031,4,5,,2803701001,3,103799827,,1,130000,3,28650,,,False,,Cenicientos,False,-4.4674084,,0,1,Madrid,4,,0,0.66393141320376,309,https://www.idealista.com/103799827,,103799827,1,63,184,28037,2072,27/01/2024,,1,2,,,,,27/01/2024,False,https://www.idealista.com/data/app/cid/MDdaazI4aCtwMEVZMFFGWVZNZ0NFZz09,706.52,,0-EU-ES-28-03-010-037
08/09/2021,2,,100,40.26539,4,4,,2803701001,3,29837757,75,1,130000,3,28650,,,False,,Cenicientos,False,-4.4700052,,9,183,Madrid,3,,1,0.66393141320376,309,https://www.idealista.com/95218170,,95218170,870,4921,276,28037,2072,26/01/2024,1960,1,2,,V,,276,27/01/2024,False,https://www.idealista.com/data/app/cid/b25vK3NhN29lRXdnbmRrd05zd01RQT09,471.01,,0-EU-ES-28-03-010-037
03/08/2020,2,,100,40.2655504,3,3,5784921UK7558S0001ZM,2803701002,1,25381703,75,1,150000,3,28650,Calle,,True,5784921UK7558S,Cenicientos,True,-4.461392,,,0,Madrid,4,,0,0.66393141320376,316,https://www.idealista.com/90544944,,90544944,1183,,120,28037,2072,30/10/2023,1983,1,1,,V,de la Encina,113,30/10/2023,False,https://www.idealista.com/data/app/cid/QVNtb3RrWmRRSytPdWhiUDVBNVJSdz09,1250,7,0-EU-ES-28-03-010-037
20/10/2022,2,,100,40.2614057,4,6,5579405UK7557N0001OZ,2803701002,1,33650472,75,1,132000,2,28650,Calle,,True,5579405UK7557N,Cenicientos,True,-4.464635,,8,78,Madrid,3,,3,0.66393141320376,355,https://www.idealista.com/99252742,,99252742,469,4696,188,28037,2072,,1995,1,3,,V,de la Ronda del Este,365,10/08/2023,,https://www.idealista.com/data/app/cid/K3dMSSsyYTlEcjNzRE56NTc2eDkxUT09,702.13,9,0-EU-ES-28-03-010-037
01/09/2023,2,,100,40.262174,3,4,,2803701001,3,36501549,75,1,135000,3,28650,,,True,,Cenicientos,True,-4.4706719,,3,53,Madrid,4,,1,0.66393141320376,395,https://www.idealista.com/102430766,,102430766,45,849,165,28037,2072,16/10/2023,1940,1,2,,I,,49,16/10/2023,,https://www.idealista.com/data/app/cid/Uk1ZLzJJakZucTkwZGh4ZmowTEk0dz09,818.18,,0-EU-ES-28-03-010-037
25/01/2024,2,,,40.2615519,4,4,,2803701002,3,103799800,,1,140000,3,28650,,,False,,Cenicientos,True,-4.4649813,,1,4,Madrid,3,,0,0.66393141320376,448,https://www.idealista.com/103799800,,103799800,7,255,131,28037,2072,,,1,1,,,,,27/01/2024,False,https://www.idealista.com/data/app/cid/R2E0R2V3MGxlZUNuK1EyVWdhV3h0dz09,1068.7,,0-EU-ES-28-03-010-037
27/10/2023,2,,100,40.2605532,4,4,,2803701002,3,37024032,75,1,140000,3,28650,,,False,,Cenicientos,True,-4.4650111,,0,15,Madrid,4,,0,0.66393141320376,448,https://www.idealista.com/103002050,,103002050,91,718,131,28037,2072,27/01/2024,1975,1,1,,V,,131,27/01/2024,False,https://www.idealista.com/data/app/cid/TW5aU3dWNG01N09xSFA1eElUVkxaQT09,1068.7,,0-EU-ES-28-03-010-037
30/04/2019,2,,40,40.2661863,0,4,,2803701001,3,21868462,0,1,108000,2,28650,,,True,,Cenicientos,True,-4.4698587,,25,367,Madrid,4,,0,0.66393141320376,483,https://www.idealista.com/85242896,,85242896,1610,8727,165,28037,2072,27/09/2023,,1,2,,,,,27/09/2023,False,https://www.idealista.com/data/app/cid/OWtTWXhQdGlvR1EvVENVdy8yT3dMUT09,654.55,,0-EU-ES-28-03-010-037
10/05/2023,2,,100,40.2637992,0,4,,2803701001,2,35544651,75,1,108000,3,28650,Calle,,True,,Cenicientos,True,-4.4712872,,14,142,Madrid,4,,1,0.66393141320376,483,https://www.idealista.com/101377817,,101377817,139,1888,165,28037,2072,27/09/2023,2007,1,2,,V,de Juan Pedra,165,27/09/2023,,https://www.idealista.com/data/app/cid/NDIzaGUrVUx6aTN4enZUWDQrWG9uQT09,654.55,,0-EU-ES-28-03-010-037
15/12/2022,2,,100,40.2635777,3,4,,2803701001,2,34256411,75,1,108000,3,28650,Calle,,,,Cenicientos,True,-4.4704978,,7,191,Madrid,4,,2,0.66393141320376,483,https://www.idealista.com/99919525,,99919525,286,3411,165,28037,2072,27/09/2023,2007,1,2,,V,de Juan Pedra,165,27/09/2023,,https://www.idealista.com/data/app/cid/UTBZWUZ1YnBjRmNvMFRkSzhTaFlwQT09,654.55,,0-EU-ES-28-03-010-037
15/09/2022,2,,100,40.2632335,2,4,,2803701001,2,33248952,75,1,127000,2,28650,Calle,,True,,Cenicientos,,-4.4697836,,1,31,Madrid,3,,0,0.66393141320376,483,https://www.idealista.com/98818891,,98818891,63,2836,165,28037,2072,18/11/2022,2007,1,2,,V,de Juan Pedra,162,18/11/2022,,https://www.idealista.com/data/app/cid/RVp4RVhoQm1vTlNJMWJnNG1HdGJUZz09,769.7,,0-EU-ES-28-03-010-037
16/07/2022,2,,100,40.2657778,2,3,,2803701001,3,32784861,75,1,125000,3,28650,,bj,True,,Cenicientos,True,-4.4692445,,9,101,Madrid,4,,0,0.66393141320376,486,https://www.idealista.com/98315149,,98315149,559,4085,166,28037,2072,26/01/2024,2007,1,3,,V,,166,26/01/2024,False,https://www.idealista.com/data/app/cid/Wkc5cGxPdy9MMEpmd2VRVG1aQkVkQT09,753.01,,0-EU-ES-28-03-010-037
10/05/2023,2,,100,40.2632659,4,4,,2803701001,2,35544893,75,1,108000,3,28650,Calle,,True,,Cenicientos,True,-4.4693374,,2,0,Madrid,4,,0,0.66393141320376,486,https://www.idealista.com/101378067,,101378067,139,49,165,28037,2072,27/09/2023,2007,1,2,,V,de Juan Pedra,165,27/09/2023,,https://www.idealista.com/data/app/cid/UFlqbHpLckNZQW90K0Npa2FnQnVEQT09,654.55,,0-EU-ES-28-03-010-037
25/01/2024,2,,,40.2625907,4,3,,2803701001,3,103799946,,1,125000,3,28650,,,True,,Cenicientos,True,-4.4697393,,0,0,Madrid,4,,0,0.66393141320376,486,https://www.idealista.com/103799946,,103799946,1,1,166,28037,2072,27/01/2024,,1,3,,,,,27/01/2024,False,https://www.idealista.com/data/app/cid/SEdGT0hXWU41NmkzMVIwSTB4QzR1QT09,753.01,,0-EU-ES-28-03-010-037
23/03/2020,2,,100,40.2650573,4,4,,2803701001,2,23983780,75,1,108000,3,28650,Calle,,False,,Cenicientos,False,-4.4698533,,32,335,Madrid,4,,2,0.66393141320376,486,https://www.idealista.com/89076843,,89076843,1282,11346,164,28037,2072,27/09/2023,2007,1,2,,V,de Juan Pedra,165,27/09/2023,False,https://www.idealista.com/data/app/cid/U0FKRmNrU1pib3pSWFFxL3BmT3FBZz09,658.54,,0-EU-ES-28-03-010-037
