precio,banos,habitaciones,propertyCode,url
422000,3,5,103465097,https://www.idealista.com/data/app/cid/QmlsbnVpWWU1TjBHRVZ2R1pBSnRsUT09
280000,3,3,102898439,https://www.idealista.com/data/app/cid/a2J0bnJMdGt4bVp5a0pwRm9Nckhvdz09
320000,3,3,103126720,https://www.idealista.com/data/app/cid/bk9iWEZCM2g1cm9NNE9XN0V5TUdxdz09
360000,3,4,89999658,https://www.idealista.com/data/app/cid/ZkdUUHhkZmRJbHYrRUxiQWMyU0Z6QT09
280000,3,3,1647909,https://www.idealista.com/data/app/cid/NUtIUEJxcjhDajkyNHNvNW85VXM5dz09
249000,2,3,103550435,https://www.idealista.com/data/app/cid/TFZ5VGlObkZXQW0zVUpxWHFTUEwvQT09
350000,4,5,101801207,https://www.idealista.com/data/app/cid/TkdrUHhFY0kzVE1GbjAyUXN6dTBmUT09
