precio,banos,habitaciones,propertyCode,url
199000,2,4,1866984,https://www.idealista.com/data/app/cid/dE5ETHAxRUR6NndlbXpxR3NuZG4vQT09
178000,1,3,98898979,https://www.idealista.com/data/app/cid/d3RNei9wbC9nS0NtNmhNSk1iUmFaZz09
325000,2,4,26400262,https://www.idealista.com/data/app/cid/M0dFUzZZRVhNU0kvaStSbDdWZW1wZz09
200000,2,1,98892783,https://www.idealista.com/data/app/cid/bE1XSHNyc1prZHRwWUtFVmhzU2hjdz09
149900,2,2,99922945,https://www.idealista.com/data/app/cid/WTVqRkFQcDlvRXVUR2ZHWjRISDlDUT09
140000,2,3,102292229,https://www.idealista.com/data/app/cid/dGFhZmVIVmdDVTY5N1ZoU2p1ZUdTdz09
350000,2,4,100222784,https://www.idealista.com/data/app/cid/NFdadzIwV2JLUE9PdmhMeGZldnlCdz09
194000,2,5,99862430,https://www.idealista.com/data/app/cid/L1RiUDNDQW1ZcmpVTUJKa0gxWm1YQT09
570000,2,3,103641593,https://www.idealista.com/data/app/cid/WkZRSUZteC9jRHVEQ2VWR0EybWtmdz09
