precio,banos,habitaciones,propertyCode,url
95500,1,3,83025924,https://www.idealista.com/data/app/cid/SFpQOVprajdpZDdBd1hMeTVSMnVzQT09
239000,2,6,97841715,https://www.idealista.com/data/app/cid/em5EYllSbDJnY2l2T25Ed3hpcmpxZz09
159800,2,3,100700119,https://www.idealista.com/data/app/cid/T2hmK1prRFAydCtwL082NkM4c2x3QT09
150000,2,4,94950672,https://www.idealista.com/data/app/cid/TDJqdGthTkFUVWpFVml5ZHc1NHdZUT09
405000,3,4,101069805,https://www.idealista.com/data/app/cid/aGE3dWJCc0JFTzE0Nlk1ZXRBMHhDUT09
359000,1,6,96428846,https://www.idealista.com/data/app/cid/YlBFeENhOGNEcTIwdFNnTFdKRE44QT09
